Land,Digitalisierung (DESI),KI-Readiness,Bildung (PISA),Wirtschaft (BIP pro Kopf €),Arbeitslosenquote (%),CO2-Emissionen (Tonnen pro Kopf),Energie aus Erneuerbaren (%),Digital Infrastructure Index,Public Services Digitalization,E-Health Index
Deutschland,75.2,68.4,82.1,42500,3.2,7.8,45.2,82.3,78.5,65.8
Niederlande,82.5,75.8,85.3,52000,3.4,8.5,58.1,88.7,85.2,72.1
Dänemark,92.1,85.2,88.7,55000,4.8,6.2,54.3,95.6,92.8,88.4
Estland,88.7,72.1,90.2,35000,4.5,10.2,32.5,93.4,95.1,85.7
Schweden,90.3,78.5,87.4,48000,6.1,3.8,60.1,91.2,89.5,78.3
Finnland,85.6,76.2,89.8,44000,6.8,8.4,42.8,88.9,91.3,82.6
Frankreich,72.4,65.3,79.5,39000,7.5,4.3,22.1,78.2,75.6,68.9
Österreich,78.9,70.5,83.2,46000,6.7,7.2,35.4,85.7,82.1,74.5
Belgien,74.8,67.9,81.3,43000,5.6,8.1,20.3,80.5,79.2,70.8
EU-Durchschnitt,65.2,60.1,78.5,38000,6.2,7.5,35.0,75.0,72.0,65.0
